user_session,product_id,brand,risk_level,trust_score,rank_purchase_only,rank_trust_aware,rank_shift
2bb8e316-9856-441e-a858-5723f916b456,10201407,simba,Low,0.9390815538533216,5,1,-4
2bb8e316-9856-441e-a858-5723f916b456,8900818,cubicfun,Low,0.9290923598200892,8,2,-6
2bb8e316-9856-441e-a858-5723f916b456,8900915,ladida,Low,0.9288271016047888,6,3,-3
2bb8e316-9856-441e-a858-5723f916b456,8900696,bertoni,Low,0.8652615686482639,10,4,-6
2bb8e316-9856-441e-a858-5723f916b456,10201512,llorens,Low,0.6798690815873571,2,5,3
2bb8e316-9856-441e-a858-5723f916b456,10201460,mattel,Low,0.6773522467516385,4,6,2
2bb8e316-9856-441e-a858-5723f916b456,8901921,i-baby,Medium,0.75,7,8,1
2bb8e316-9856-441e-a858-5723f916b456,10201542,unknown,Medium,0.5,1,9,8
2bb8e316-9856-441e-a858-5723f916b456,10200100,unknown,Medium,0.5,3,10,7
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004794,xiaomi,Medium,0.6531157307567244,2,1,-1
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004808,xiaomi,Medium,0.6531157307567244,3,2,-1
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1005008,xiaomi,Medium,0.6531157307567244,5,3,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004139,xiaomi,Medium,0.6531157307567244,6,4,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004402,xiaomi,Medium,0.6531157307567244,7,5,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1005009,xiaomi,Medium,0.6531157307567244,8,6,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1005161,xiaomi,Medium,0.6531157307567244,9,7,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1005157,xiaomi,Medium,0.6531157307567244,10,8,-2
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004856,samsung,Medium,0.4960472114380608,1,9,8
5a5350f2-c5d7-4230-8fec-3ac32c134ab3,1004446,samsung,Medium,0.4960472114380608,4,10,6
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5301155,galaxy,Low,0.9260247487357522,9,1,-8
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5300702,polaris,Low,0.8802239693421735,8,3,-5
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5301062,polaris,Low,0.8802239693421735,10,4,-6
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5300125,philips,Low,0.8576433466568985,3,6,3
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5301649,scarlett,Low,0.8161070300265931,7,7,0
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5301260,vitek,Low,0.7960123122204597,5,8,3
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5300440,vitek,Low,0.7960123122204597,6,9,3
911fe262-382e-4ae4-8a8e-f7ec4d3adf86,5301400,elenberg,Low,0.7859385123055855,2,10,8
c400b928-9baf-4b30-a8bb-8b55ab989113,28715222,fassen,Low,0.900463707691301,7,3,-4
c400b928-9baf-4b30-a8bb-8b55ab989113,45600200,shagovita,Low,0.8679665755125043,9,4,-5
c400b928-9baf-4b30-a8bb-8b55ab989113,45600212,shagovita,Low,0.8679665755125043,10,5,-5
c400b928-9baf-4b30-a8bb-8b55ab989113,28717906,burgerschuhe,Low,0.8535379626242308,4,6,2
c400b928-9baf-4b30-a8bb-8b55ab989113,28716670,respect,Low,0.8076269478927753,2,7,5
c400b928-9baf-4b30-a8bb-8b55ab989113,28713152,respect,Low,0.8076269478927753,5,8,3
c400b928-9baf-4b30-a8bb-8b55ab989113,28717971,rieker,Low,0.799948162680538,1,9,8
c400b928-9baf-4b30-a8bb-8b55ab989113,28716855,rieker,Low,0.799948162680538,3,10,7
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004736,sony,Low,0.6766521542890878,10,1,-9
d0350faa-69a4-4255-903d-eb6a0b5e0448,1005082,honor,Medium,0.6638078633722547,6,2,-4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1005083,honor,Medium,0.6638078633722547,7,3,-4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004817,honor,Medium,0.6638078633722547,8,4,-4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004957,xiaomi,Medium,0.6531157307567244,2,5,3
d0350faa-69a4-4255-903d-eb6a0b5e0448,1003525,oneplus,Medium,0.6504533957608103,9,6,-3
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004159,samsung,Medium,0.4960472114380608,3,7,4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1003285,samsung,Medium,0.4960472114380608,4,8,4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004157,samsung,Medium,0.4960472114380608,5,9,4
d0350faa-69a4-4255-903d-eb6a0b5e0448,1004249,apple,Medium,0.4820639313358406,1,10,9
