product_id,category_code,brand,price,total_events,views,carts,purchases,popularity_score
1001588,electronics.smartphone,meizu,128.31,17,17,0,0,0.004689331770221369
1002062,electronics.smartphone,samsung,77.14,1,1,0,0,0.0
1002098,electronics.smartphone,samsung,409.02,23,23,0,0,0.006447831184054382
1002099,electronics.smartphone,samsung,370.41,153,152,0,1,0.04572098475965835
1002100,electronics.smartphone,samsung,409.02,28,28,0,0,0.00791324736224856
1002101,electronics.smartphone,samsung,409.02,50,50,0,0,0.014361078546302941
1002102,electronics.smartphone,samsung,414.53,39,39,0,0,0.011137162954275751
1002225,electronics.smartphone,philips,82.37,3,3,0,0,0.0005861664712776711
1002367,electronics.smartphone,meizu,205.53,1,1,0,0,0.0
1002396,electronics.smartphone,sony,275.55,5,5,0,0,0.0011723329425553423
1002398,electronics.smartphone,sony,252.39,9,9,0,0,0.0023446658851106845
1002482,electronics.smartphone,meizu,128.31,6,6,0,0,0.0014654161781941777
1002484,electronics.smartphone,meizu,179.79,12,12,0,0,0.003223915592027191
1002494,electronics.smartphone,sony,306.42,9,9,0,0,0.0023446658851106845
1002524,electronics.smartphone,apple,514.76,740,661,46,33,0.28223915592019866
1002525,electronics.smartphone,apple,721.0,6,6,0,0,0.0014654161781941777
1002527,electronics.smartphone,apple,771.96,3,3,0,0,0.0005861664712776711
1002528,electronics.smartphone,apple,643.23,111,108,0,3,0.03575615474793794
1002532,electronics.smartphone,apple,642.69,82,69,8,5,0.03429073856974376
1002535,electronics.smartphone,apple,864.63,44,42,0,2,0.014947245017580614
1002536,electronics.smartphone,apple,581.22,61,60,0,1,0.018757327080885476
1002538,electronics.smartphone,apple,603.5,35,35,0,0,0.009964830011720409
1002539,electronics.smartphone,apple,602.74,2,2,0,0,0.00029308323563883556
1002540,electronics.smartphone,apple,511.71,55,54,0,1,0.016998827667052463
1002542,electronics.smartphone,apple,473.6,49,49,0,0,0.014067995310664107
1002544,electronics.smartphone,apple,464.08,916,770,68,78,0.39947245017573285
1002545,electronics.smartphone,apple,707.61,1,1,0,0,0.0
1002547,electronics.smartphone,apple,470.77,278,267,7,4,0.08997655334112252
1002548,electronics.smartphone,apple,579.68,38,36,0,2,0.0131887456037476
1002549,electronics.smartphone,apple,488.79,1,1,0,0,0.0
1002550,electronics.smartphone,blackberry,355.18,12,12,0,0,0.003223915592027191
1002628,electronics.smartphone,apple,397.95,36,34,0,2,0.012602579132469928
1002629,electronics.smartphone,apple,377.14,163,146,10,7,0.06154747948415547
1002633,electronics.smartphone,apple,360.08,534,491,20,23,0.19490035169982564
1002634,electronics.smartphone,apple,376.85,98,86,6,6,0.03898007033996513
1002662,electronics.smartphone,xiaomi,203.09,6,6,0,0,0.0014654161781941777
1002678,electronics.smartphone,meizu,231.27,2,2,0,0,0.00029308323563883556
1002757,electronics.smartphone,samsung,168.69,1,1,0,0,0.0
1002786,electronics.smartphone,unknown,0.0,1,1,0,0,0.0
1002796,electronics.smartphone,unknown,0.0,1,1,0,0,0.0
1002808,electronics.smartphone,bq,74.03,1,1,0,0,0.0
1002876,electronics.smartphone,unknown,198.2,3,3,0,0,0.0005861664712776711
1002881,electronics.smartphone,xiaomi,254.32,10,10,0,0,0.00263774912074952
1002902,electronics.smartphone,oneplus,468.48,1,1,0,0,0.0
1002923,electronics.smartphone,unknown,0.0,6,6,0,0,0.0014654161781941777
1002929,electronics.smartphone,micromax,85.12,1,1,0,0,0.0
1002974,electronics.smartphone,huawei,149.3,37,36,0,1,0.011723329425553422
1002987,electronics.smartphone,xiaomi,203.05,8,8,0,0,0.002051582649471849
1002995,electronics.smartphone,apple,456.79,23,23,0,0,0.006447831184054382
1003013,electronics.smartphone,huawei,179.9,7,7,0,0,0.0017584994138330134
1003015,electronics.smartphone,lg,89.84,1,1,0,0,0.0
1003023,electronics.smartphone,htc,126.13,1,1,0,0,0.0
1003039,electronics.smartphone,samsung,1154.86,8,8,0,0,0.002051582649471849
1003050,electronics.smartphone,samsung,617.52,62,62,0,0,0.01787807737396897
1003052,electronics.smartphone,samsung,599.66,3,3,0,0,0.0005861664712776711
1003073,electronics.smartphone,meizu,151.12,2,2,0,0,0.00029308323563883556
1003074,electronics.smartphone,meizu,134.96,3,3,0,0,0.0005861664712776711
1003096,electronics.smartphone,meizu,308.5,9,8,0,1,0.0035169988276660268
1003102,electronics.smartphone,oppo,180.16,6,6,0,0,0.0014654161781941777
1003112,electronics.smartphone,sony,141.99,3,3,0,0,0.0005861664712776711
1003114,electronics.smartphone,sony,128.39,27,27,0,0,0.007620164126609725
1003141,electronics.smartphone,apple,382.97,17,17,0,0,0.004689331770221369
1003158,electronics.smartphone,sony,187.88,5,5,0,0,0.0011723329425553423
